,section,book,start,end,first_ms,book2,ms2
0,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,0,3,1467,0660IbnCadim.BughyatTalab,1959
1,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,5,16,1467,0660IbnCadim.BughyatTalab,1959
2,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,20,22,1467,0660IbnCadim.BughyatTalab,1959
3,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,22,38,1467,0660IbnCadim.BughyatTalab,1959
4,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,38,60,1467,0660IbnCadim.BughyatTalab,1959
5,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,61,82,1467,0660IbnCadim.BughyatTalab,1959
6,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,89,107,1467,0660IbnCadim.BughyatTalab,1959
7,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,107,113,1467,0660IbnCadim.BughyatTalab,1959
8,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,117,120,1467,0660IbnCadim.BughyatTalab,1959
9,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,131,139,1467,0660IbnCadim.BughyatTalab,1959
10,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,139,140,1467,0660IbnCadim.BughyatTalab,1959
11,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,140,144,1467,0660IbnCadim.BughyatTalab,1959
12,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,144,204,1467,0660IbnCadim.BughyatTalab,1959
13,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,204,206,1467,0660IbnCadim.BughyatTalab,1959
14,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,217,227,1467,0660IbnCadim.BughyatTalab,1959
15,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,234,235,1467,0660IbnCadim.BughyatTalab,1959
16,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,235,268,1467,0660IbnCadim.BughyatTalab,1959
17,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,268,272,1467,0660IbnCadim.BughyatTalab,1959
18,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,272,273,1467,0660IbnCadim.BughyatTalab,1959
19,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,274,276,1467,0660IbnCadim.BughyatTalab,1959
20,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,276,287,1467,0660IbnCadim.BughyatTalab,1959
21,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,297,305,1467,0660IbnCadim.BughyatTalab,1959
22,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,305,306,1467,0660IbnCadim.BughyatTalab,1959
23,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,312,313,1467,0660IbnCadim.BughyatTalab,1959
24,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,313,344,1467,0660IbnCadim.BughyatTalab,1959
25,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,344,346,1467,0660IbnCadim.BughyatTalab,1959
26,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,346,347,1467,0660IbnCadim.BughyatTalab,1959
27,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,347,369,1467,0660IbnCadim.BughyatTalab,1959
28,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,370,373,1467,0660IbnCadim.BughyatTalab,1959
29,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,395,397,1467,0660IbnCadim.BughyatTalab,1959
30,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,397,408,1467,0660IbnCadim.BughyatTalab,1959
31,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,408,409,1467,0660IbnCadim.BughyatTalab,1959
32,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,409,410,1467,0660IbnCadim.BughyatTalab,1959
33,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,410,412,1467,0660IbnCadim.BughyatTalab,1959
34,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,412,413,1467,0660IbnCadim.BughyatTalab,1959
35,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,413,419,1467,0660IbnCadim.BughyatTalab,1959
36,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,420,427,1467,0660IbnCadim.BughyatTalab,1959
37,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,439,443,1467,0660IbnCadim.BughyatTalab,1959
38,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,457,461,1467,0660IbnCadim.BughyatTalab,1959
39,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,470,473,1467,0660IbnCadim.BughyatTalab,1959
40,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,474,485,1467,0660IbnCadim.BughyatTalab,1959
41,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,486,493,1467,0660IbnCadim.BughyatTalab,1959
42,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,493,497,1467,0660IbnCadim.BughyatTalab,1959
43,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,497,506,1467,0660IbnCadim.BughyatTalab,1959
44,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,506,511,1467,0660IbnCadim.BughyatTalab,1959
45,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,511,516,1467,0660IbnCadim.BughyatTalab,1959
46,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,516,520,1467,0660IbnCadim.BughyatTalab,1959
47,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,545,548,1467,0660IbnCadim.BughyatTalab,1959
48,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,580,583,1467,0660IbnCadim.BughyatTalab,1959
49,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,596,599,1467,0660IbnCadim.BughyatTalab,1959
50,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,601,604,1467,0660IbnCadim.BughyatTalab,1959
51,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,623,629,1467,0660IbnCadim.BughyatTalab,1959
52,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,0,3,1467,0845Maqrizi.Muqaffa,1370
53,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,5,16,1467,0845Maqrizi.Muqaffa,1370
54,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,20,22,1467,0845Maqrizi.Muqaffa,1370
55,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,22,38,1467,0845Maqrizi.Muqaffa,1370
56,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,38,60,1467,0845Maqrizi.Muqaffa,1370
57,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,61,82,1467,0845Maqrizi.Muqaffa,1370
58,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,89,93,1467,0845Maqrizi.Muqaffa,1370
59,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,93,107,1467,0845Maqrizi.Muqaffa,1370
60,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,107,113,1467,0845Maqrizi.Muqaffa,1370
61,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,113,114,1467,0845Maqrizi.Muqaffa,1370
62,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,117,120,1467,0845Maqrizi.Muqaffa,1370
63,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,131,139,1467,0845Maqrizi.Muqaffa,1370
64,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,139,140,1467,0845Maqrizi.Muqaffa,1370
65,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,140,144,1467,0845Maqrizi.Muqaffa,1370
66,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,144,204,1467,0845Maqrizi.Muqaffa,1370
67,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,204,206,1467,0845Maqrizi.Muqaffa,1370
68,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,217,227,1467,0845Maqrizi.Muqaffa,1370
69,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,234,235,1467,0845Maqrizi.Muqaffa,1370
70,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,235,287,1467,0845Maqrizi.Muqaffa,1370
71,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,297,305,1467,0845Maqrizi.Muqaffa,1370
72,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,305,306,1467,0845Maqrizi.Muqaffa,1370
73,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,312,313,1467,0845Maqrizi.Muqaffa,1370
74,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,313,344,1467,0845Maqrizi.Muqaffa,1370
75,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,344,346,1467,0845Maqrizi.Muqaffa,1370
76,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,352,369,1467,0845Maqrizi.Muqaffa,1370
77,### | ذكر بساتين الوزير,0845Maqrizi.Mawaciz,370,373,1467,0845Maqrizi.Muqaffa,1370
